date,PS_OL(tonVS),FWW_OL(tonVS),Digester B_TS(%),Digester B_VS(%),Digester B_CH4(%),Digester B_CO2(%),Digester B_H2S,Biogas B
2019-03-20,13.81894358820886,11.321353065539112,0.03816969418257079,0.02391354334329729,,,,15449.5
2019-03-21,13.221008529103669,10.830249284267847,0.03816969418257079,0.02391354334329729,,,,15293.0
2019-03-22,12.888295505117947,11.480064241323916,0.03816969418257079,0.02391354334329729,,,,15324.5
2019-03-23,9.684023141967076,11.19125759374344,0.03816969418257079,0.02391354334329729,,,,14559.0
2019-03-24,8.544726301735656,11.768870888904392,0.03816969418257079,0.02391354334329729,,,,13363.5
2019-03-25,7.619047619047627,11.19125759374344,0.03816969418257079,0.02391354334329729,0.614,0.388,83.0,14269.5
2019-03-26,8.188696039163336,13.03001287415512,0.03816969418257079,0.02391354334329729,,,,14237.0
2019-03-27,7.008446566287133,14.09679755391051,0.0369034167339254,0.022418825665859756,0.615,0.385,81.0,15435.0
2019-03-28,8.558391479985248,11.125040231734781,0.0369034167339254,0.022418825665859756,,,,15489.0
2019-03-29,8.625780389276471,11.592326326482766,0.0369034167339254,0.022418825665859756,,,,14966.0
2019-03-30,7.345391112743245,9.769633507853401,0.0369034167339254,0.022418825665859756,,,,15168.5
2019-03-31,6.199779654792463,9.623818082363051,0.0369034167339254,0.022418825665859756,,,,14076.5
2019-04-01,8.261470773098717,9.915448933343749,0.0369034167339254,0.022418825665859756,,,,13908.5
2019-04-02,6.46260213702077,11.037593984962324,0.0369034167339254,0.022418825665859756,,,,14108.5
2019-04-03,7.128849780012604,12.081690713269573,0.0369034167339254,0.022418825665859756,,,,14720.5
2019-04-04,6.329352608422405,9.322292217028991,0.03551200724966011,0.020163117353873928,0.595,0.383,73.0,14641.5
2019-04-05,5.734158117079054,10.515545620808702,0.03551200724966011,0.020163117353873928,0.613,0.384,71.0,14129.5
2019-04-06,5.734158117079054,11.410485673643485,0.03551200724966011,0.020163117353873928,,,,15166.0
2019-04-07,5.240897203781931,6.562893720788409,0.03551200724966011,0.020163117353873928,,,,11644.0
2019-04-08,6.474049487024739,10.366388945336238,0.03551200724966011,0.020163117353873928,,,,11661.0
2019-04-09,5.857473345403334,8.501930501930438,0.03551200724966011,0.020163117353873928,,,,12747.5
2019-04-10,6.862586605080819,10.598649370840016,0.03565217391304319,0.02034782608695668,,,,14154.5
2019-04-11,6.045612009237865,9.882524413350826,0.03565217391304319,0.02034782608695668,0.62,0.382,62.0,13848.0
2019-04-12,8.823325635103911,11.171549336831367,0.03565217391304319,0.02034782608695668,,,,14543.5
2019-04-13,6.917051578137016,12.030899285818396,0.03565217391304319,0.02034782608695668,,,,15543.5
2019-04-14,6.862586605080819,9.238011951610554,0.03565217391304319,0.02034782608695668,,,,14125.0
2019-04-15,6.481331793687441,12.890249234805424,0.03565217391304319,0.02034782608695668,,,,15047.0
2019-04-16,4.4661277906081525,10.885099353835692,0.03565217391304319,0.02034782608695668,0.614,0.387,62.0,15015.5
2019-04-17,4.795398317664522,11.975873335008826,0.03634635942510998,0.01924219028388158,,,,15291.5
2019-04-18,6.147946561108361,10.365083354276646,0.03634635942510998,0.01924219028388158,,,,15069.5
2019-04-19,6.086467095497278,10.225014660299934,0.03634635942510998,0.01924219028388158,,,,14529.5
2019-04-20,6.578302820385946,9.594705537404732,0.03634635942510998,0.01924219028388158,,,,14423.5
2019-04-21,7.561974270163284,8.684259026556107,0.03634635942510998,0.01924219028388158,,,,13146.5
2019-04-22,10.082632360217712,10.225014660299934,0.03634635942510998,0.01924219028388158,,,,13206.5
2019-04-23,9.79808341206641,11.625701600067048,0.03634635942510998,0.01924219028388158,0.612,0.388,68.0,15627.0
2019-04-24,10.607099473613177,8.671373069269393,0.03594231370272803,0.020225923114702837,,,,13199.5
2019-04-25,10.669271224643134,10.067611105846668,0.03594231370272803,0.020225923114702837,,,,14891.0
2019-04-26,7.870773854244936,9.406235193783747,0.03594231370272803,0.020225923114702837,,,,14277.0
2019-04-27,9.182569496619092,9.185776556429442,0.03594231370272803,0.020225923114702837,,,,13941.0
2019-04-28,10.581818181818193,11.243390505069637,0.03594231370272803,0.020225923114702837,,,,14530.5
2019-04-29,9.882193839218642,11.1699042926182,0.03594231370272803,0.020225923114702837,,,,14432.5
2019-04-30,12.768144252441784,8.450914431915086,0.03594231370272803,0.020225923114702837,0.608,0.392,85.0,14777.0
2019-05-01,6.8596815994076135,11.119055931848322,0.03773475874024841,0.02080323605894247,,,,15011.5
2019-05-02,8.15457708,9.602821032050823,0.03773475874024841,0.02080323605894247,,,,14484.0
2019-05-03,5.9136245999999995,9.530619370155705,0.03773475874024841,0.02080323605894247,0.611,0.379,68.0,13837.0
2019-05-04,7.345344239999999,10.685845960477607,0.03773475874024841,0.02080323605894247,,,,14492.0
2019-05-05,3.79716948,11.480064241323916,0.03773475874024841,0.02080323605894247,,,,14565.5
2019-05-06,5.66462988,10.758047622372727,0.03773475874024841,0.02080323605894247,,,,15157.0
2019-05-07,8.198282032927699,9.8916276796313,0.03773475874024841,0.02080323605894247,,,,15505.0
2019-05-08,4.88743736578382,10.52016334864725,0.03496788663472322,0.020542359058007893,0.606,0.39,70.0,15715.5
2019-05-09,6.973923714081187,10.730566615620196,0.03496788663472322,0.020542359058007893,,,,16172.5
2019-05-10,8.190305757234883,11.08123872724177,0.03496788663472322,0.020542359058007893,,,,17722.0
2019-05-11,7.298292258922173,14.377556576484576,0.03496788663472322,0.020542359058007893,,,,20972.0
2019-05-12,8.433582165865621,13.115136974646905,0.03496788663472322,0.020542359058007893,,,,20386.5
2019-05-13,9.082319255547592,10.80070103794451,0.03496788663472322,0.020542359058007893,,,,17950.0
2019-05-14,8.27139789344513,11.852717372809236,0.03496788663472322,0.020542359058007893,,,,15490.0
2019-05-15,6.8040615,13.014570724052913,0.03862086546427899,0.020839971958447626,,,,17012.5
2019-05-16,7.338602749999999,12.484188334504585,0.03862086546427899,0.020839971958447626,0.606,0.377,120.0,16590.0
2019-05-17,7.724845,11.761419536191163,0.03862086546427899,0.020839971958447626,,,,15707.5
2019-05-18,6.529609453239999,10.118763176387928,0.03862086546427899,0.020839971958447626,,,,14245.0
2019-05-19,8.45008282184,6.833450456781458,0.03862086546427899,0.020839971958447626,,,,11890.0
2019-05-20,2.3045680423199997,5.3222066057624815,0.03862086546427899,0.020839971958447626,,,,11900.0
2019-05-21,,5.094318875992705,0.03862086546427899,0.020839971958447626,,,,8200.0
2019-05-22,3.939374099777404,11.990287110568197,0.03807155155921187,0.019896690262100707,,,,13812.5
2019-05-23,8.881497970407239,14.661698228466811,0.03807155155921187,0.019896690262100707,,,,20057.5
2019-05-24,7.807123215922491,13.166649699684422,0.03807155155921187,0.019896690262100707,0.607,0.379,84.0,17987.5
2019-05-25,5.801623674217631,12.004886490888738,0.03807155155921187,0.019896690262100707,,,,15852.5
2019-05-26,6.088123608746898,10.520411279649808,0.03807155155921187,0.019896690262100707,,,,14495.0
2019-05-27,7.950373183187124,8.261427262547087,0.03807155155921187,0.019896690262100707,,,,13070.0
2019-05-28,7.5922482650255425,9.939529675251965,0.03807155155921187,0.019896690262100707,,,,14970.0
2019-05-29,5.4098902750638675,10.338082288957207,0.0382758793969848,0.01939248372403882,,,,14002.5
2019-05-30,5.348414249210869,10.599704251386314,0.0382758793969848,0.01939248372403882,,,,13935.0
2019-05-31,6.424180327868821,10.668983364140473,0.0382758793969848,0.01939248372403882,0.605,0.388,105.0,14600.0
2019-06-01,3.8883196721311273,8.521330868761547,0.0382758793969848,0.01939248372403882,,,,11427.5
2019-06-02,6.367827868852427,8.590609981515705,0.0382758793969848,0.01939248372403882,,,,12260.0
2019-06-03,5.917008196721281,7.551423290203321,0.0382758793969848,0.01939248372403882,0.607,0.379,101.0,11787.5
2019-06-04,5.353483606557349,13.37086876155267,0.0382758793969848,0.01939248372403882,,,,15292.5
2019-06-05,5.717714834373529,12.400961182994445,0.0382758793969848,0.01939248372403882,,,,15360.0
2019-06-06,6.358607534573314,12.537960954446858,0.04078183968906664,0.022024446572410393,0.62,0.381,110.0,15712.5
2019-06-07,6.696232713400215,11.357917570498918,0.04078183968906664,0.022024446572410393,,,,15690.0
2019-06-08,5.12064854554134,11.50542299349241,0.04078183968906664,0.022024446572410393,,,,15676.5
2019-06-09,2.9260848831664807,10.472885032537963,0.04078183968906664,0.022024446572410393,,,,14839.5
2019-06-10,3.432522651406833,9.36659436008677,0.04078183968906664,0.022024446572410393,,,,13197.0
2019-06-11,4.001024590163914,12.045907681997182,0.04078183968906664,0.022024446572410393,,,,13706.0
2019-06-12,3.719262295081948,12.466113763927318,0.03697383390216093,0.019340159271899273,,,,14996.5
2019-06-13,3.775614754098341,6.723297310882148,0.03697383390216093,0.019340159271899273,0.606,0.379,83.0,12780.5
2019-06-14,5.747950819672101,9.734774231381445,0.03697383390216093,0.019340159271899273,,,,12027.0
2019-06-15,5.963174507740853,10.279716466739385,0.03629668595476078,0.018937401367701303,,,,15388.0
2019-06-16,5.163986171651874,8.801587301587317,0.03629668595476078,0.018937401367701303,,,,14202.0
2019-06-17,9.836164136479757,8.935962680237505,0.03629668595476078,0.018937401367701303,,,,13159.0
2019-06-18,11.434540808657719,6.920332000484683,0.03629668595476078,0.018937401367701303,,,,13136.0
2019-06-19,6.481331793687441,8.579414135984937,0.02818769689935337,0.014607859393135482,,,,13781.0
2019-06-20,5.22863741339491,8.20639613007255,0.02818769689935337,0.014607859393135482,,,,13308.0
2019-06-21,5.251409244644871,8.857293868921776,0.030322873117413,0.01581826424217999,,,250.0,13431.0
2019-06-22,4.685080796692973,9.05708245243129,0.030322873117413,0.01581826424217999,,,,13496.5
2019-06-23,4.32468996617813,9.656448202959831,0.030322873117413,0.01581826424217999,,,,13534.0
2019-06-24,4.3761743705373926,9.456659619450317,0.030322873117413,0.01581826424217999,,,150.0,13561.0
2019-06-25,3.528172722485465,8.694168693452664,0.0305555555555554,0.016234567901234443,,,120.0,13439.5
2019-06-26,4.586624539231105,9.515664947952128,0.0305555555555554,0.016234567901234443,,,,13391.0
2019-06-27,3.528172722485465,7.872672438953199,0.0305555555555554,0.016234567901234443,,,,11517.0
2019-06-28,3.951553449183721,9.721039011576993,0.0305555555555554,0.016234567901234443,,,,13318.5
2019-06-29,3.7045813586097385,9.173374841910684,0.0305555555555554,0.016234567901234443,,,,13039.0
2019-06-30,3.104791995787209,10.200245160035015,0.0305555555555554,0.016234567901234443,,,,12860.5
2019-07-01,3.8809899947340116,12.801649965949984,0.0305555555555554,0.016234567901234443,,,,13772.5
2019-07-02,3.6186073264781227,14.322012001395048,0.02839033408160568,0.01497775095735039,,,100.0,16277.5
2019-07-03,2.554311053984557,11.923907666277739,0.02839033408160568,0.01497775095735039,,,,16754.5
2019-07-04,4.044325835475549,9.659031349778056,0.02839033408160568,0.01497775095735039,,,,14562.0
2019-07-05,3.7888947300770934,9.126119275307543,0.02839033408160568,0.01497775095735039,,,,13528.5
2019-07-06,3.6611791773778655,10.791469508027898,0.02839033408160568,0.01497775095735039,,,,14689.5
2019-07-07,4.342328791773747,9.459189321851614,0.02839033408160568,0.01497775095735039,,,,14813.0
2019-07-08,4.895762853470401,9.659031349778056,0.02839033408160568,0.01497775095735039,,,100.0,13598.0
2019-07-09,4.621880169747533,8.552926764891017,0.03168713749573533,0.016547253497100036,,,,13906.0
2019-07-10,4.102567791124215,10.707480835436083,0.03168713749573533,0.016547253497100036,,,,13884.0
2019-07-11,4.673811407609865,9.858717110675906,0.03168713749573533,0.016547253497100036,,,,14211.5
2019-07-12,4.673811407609865,9.989296145254395,0.03755075968426337,0.018752566500889616,,,,14456.5
2019-07-13,4.569948931885201,9.793427593386662,0.03755075968426337,0.018752566500889616,,,,14345.5
2019-07-14,4.51801769402287,9.662848558808173,0.03755075968426337,0.018752566500889616,,,,14452.0
2019-07-15,5.296986261957847,10.119875179832885,0.03755075968426337,0.018752566500889616,,,,14551.0
2019-07-16,6.131393670183216,10.172868061874405,0.03755075968426337,0.018752566500889616,,,,13878.5
2019-07-17,10.323264852859497,9.746460418562306,0.03755075968426337,0.018752566500889616,,,,13764.0
